name,user,brewery,style,abv,ibu,image,description
Golden Monkey,user,Victory Brewing Company,Belgian Tripel,9.5,20,goldenmonkey.jpg,"Strong and sensual, this golden, Belgian-style ale glows. The richness of German malts and Belgian yeast are tempered by a sparkling approach and overall light body. Abundant herbal, fruity notes make Golden Monkey one to savor."
La Fin Du Monde,user,Unibroue,Belgian Tripel,9,19,lafindumonde.jpg,"Floral bouquet, aromas of honey, spice, coriander, malt, and alcohol. Mildly yeasty with a complex palate of malt, fruit and spice notes followed by a smooth, dry finish."
Hennepin Farmhouse Saison,user,Brewery Ommegang,Saison/Farmhouse Ale,7.7,24,hennepin.jpg,"With tons of complex spicy notes, including coriander, orange peel and grains of paradise, and no flavor overpowering the palate, Ommegang’s Hennepin is truly a very well-balanced and enjoyable brew."
Baby Tree,user,Pretty Things Beer And Ale Project,Belgian Quad,9,"",babytree.jpeg,"Baby Tree is inspired by the great monastic Belgian ales. It is a dark garnet in color, with dark fruity flavors. Best drunk from a stemmed glass."
Porter Square Porter,user,Slumbrew,Porter,6.5,31,porter.jpg,"Rich black porter with a unique blend of chocolate, coffee, roasted and nutty flavors. Brewed with cocoa powder and conditioned with cacao nibs from Taza Chocolate. Bold flavors from the cacao nibs and black malts are balanced with a special blend of pale malts, oats and wheat to produce a lush and lingering mouthfeel."
La Chouffe,user,Brasserie d'Achouffe,Golden Ale,8,20,lachouffe.jpg,"La Chouffe is an unfiltered blonde beer, which is re-fermented in the bottle as well as in the keg. It is pleasantly fruity, spiced with coriander, and with a light hop taste."
Hopback Amber Ale,user,Tröegs Brewing Company,Amber/Red Ale,6,55,hopback.jpg,"The flavor is a fantastic blend of floral hints with caramel base and a pleasant taste of hops. It isn’t too bitter and finishes strong with one last burst of flavor which is sweet and satisfying."
60 Minute IPA,user,Dogfish Head Brewery,IPA,6,60,dogfish60.jpg,"Our flagship beer. A session India Pale Ale brewed with Warrior, Amarillo & 'Mystery Hop X.' A powerful East Coast I.P.A. with a lot of citrusy hop character. THE session beer for beer geeks like us!"
Milk Stout,user,Left Hand Brewing Company,Stout,6,25,milk.jpg,"Milk sugar in your stout is like cream in your coffee. Dark and delicious, America's great milk stout will change your perception about what a stout can be. Preconceived notions are the blinders on the road to enlightenment. Udderly delightful."
Racer 5 IPA,user,Bear Republic Brewing Company,IPA,7.5,75,racer5.jpg,"This hoppy American IPA is a full bodied beer brewed with American pale and crystal malts, and heavily hopped with Chinook, Cascade, Columbus and Centennial. There's a trophy in every glass."
Bière de Mars,user,Jolly Pumpkin Artisan Ales,Bière de Garde,7,"",demars.jpg,"A sustaining beer that is brewed to comfort in the gusty ides of March and welcome in a wealth of warmer weather."
Pumking,user,Southern Tier Brewing Company,Pumpkin,8.6,30,pumking.jpg,"Holy Halloween, this is delicious! Creamy, slightly sweet, spice essence but not like drinking pumpkin pie. This is, frankly, perfection."
Copper Legend,user,Jack's Abby Brewing,Oktoberfest/Märzen,5.9,22,copperlegend.jpg,"Our Octoberfest is malty, smooth and exceedingly drinkable. It is perfect to celebrate and honor today’s legends. We use locally grown wheat from MA, Munich malt and noble hops."
Old Rasputin,user,North Coast Brewing Company,Imperial Stout,9,75,rasputin.jpg,"A rich, intense brew with a robust palate, a fruity nose and a warming finish. Very complex."
Duvel,user,Brouwerij Duvel Moortgat,Belgian Strong Ale,8.5,"",duvelbeer.jpg,"Four generations of the Moortgat family have brought together Pilsener malts, Bohemian hops, and a unique yeast strain to create this intense, aromatic and beguiling ale."
Weihenstephaner Hefeweissbier,user,Bayerische Staatsbrauerei Weihenstephan,Hefeweizen,5.4,14,weihen.jpeg,"Our golden-yellow wheat beer, with its fine-pored white foam, smells of cloves and impresses consumers with its refreshing banana flavour. It is full bodied and with a smooth yeast taste."
Samuel Adams Boston Lager,user,Samuel Adams (Boston Beer Company),Lager,4.7,30,samadams.jpg,"Samuel Adams Boston Lager® is the best example of the fundamental characteristics of a great beer, offering a full, rich flavor that is both balanced and complex."
Duck Duck Gooze,user,The Lost Abbey,Wild Ale,7,"",duck.jpg,"As with all sour ales, the initial sip wakes up your dull senses. There is an elevated level of Acetic Acids working their magic in this beer. The first sip assaults the palate in an enamel stripping bottom of the pH chain sort of way."
Bigfoot,user,Sierra Nevada Brewing Company,Barleywine,9.6,90,bigfoot.jpeg,"Bigfoot is a beast of a beer, brimming with bold flavors of bittersweet malt and heaps of aggressive whole-cone Pacific Northwest hops."
80-Acre Hoppy Wheat Beer,user,Boulevard Brewing Company,Wheat Beer,5.5,20,80acre.jpg,"With roots in two of today's most popular brewing styles, 80-Acre Hoppy Wheat Beer is the result of careful cultivation by our brewers and cellarmen. Their efforts to craft a hybrid yielded a delightfully distinctive ale with the aroma of an IPA and the refreshing taste of a wheat beer."
